category,name,price,description
Starters & Snacks,Grilled Sausage Crisp,10.99,"Ground sweet Italian sausage, mozzarella cheese and pepperoncini stuffed in a grilled flour tortilla. Topped with Romano cheese and served with marinara for dipping."
Starters & Snacks,Stuffed Hot Cherry Peppers,12.99,"Hot cherry peppers stuffed with our homemade sausage stuffing. Topped with marinara, Romano and mozzarella cheese then baked golden brown. Served with garlic bread."
Starters & Snacks,Potato Skins,12.99,Filled with Jack-cheddar cheese and bacon bits with a side of sour cream.
Starters & Snacks,Super Nachos,15.99,"Tortilla chips topped with a mix of spicy beef and refried beans, nacho cheese sauce, olives, pico de gallo, jalapeños, scallions and shredded lettuce. Sour cream and salsa on the side. Add guacamole $2.39"
Starters & Snacks,Mozzarella Sticks,11.59,Lightly battered and served with our own marinara sauce.
Starters & Snacks,Louisiana Crab Dip,11.99,"A blend of real and imitation crab meat, homemade and creamy with a little zing! Served with tortilla chips."
Starters & Snacks,Tully's Habañero Wings,15.99,This is where heat meets flavor! Lightly dusted with flour and tossed in our homemade habañero sauce. Bleu Cheese included.
Starters & Snacks,Garlic Parm Wings,15.99,Lightly dusted with flour then tossed in our homemade garlic Parmesan sauce. Celery and Tully's Ranch dressing included.
Starters & Snacks,Salt & Pepper Wings,15.59,Tossed in our salt and pepper seasoning. Celery and Bleu Cheese included.
Starters & Snacks,Tully's Original Wings,15.59,"Lightly dusted with flour. Choose from Tully’s signature sauces: Mild, Medium, Hot, or BBQ. Celery and Bleu Cheese included."
Starters & Snacks,Tully's Buffalo Wings,15.59,Tossed in homemade Buffalo sauce. Celery and Bleu cheese included.
Starters & Snacks,Loaded Fries,13.99,"Smothered with melted Jack-cheddar cheese, bacon bits and Tully’s Ranch for dipping."
Starters & Snacks,Tex-Mex Eggrolls,12.99,"Filled with spicy chicken, corn, black beans, peppers, onions and melted cheese. Served with spicy Cajun sauce, salsa and tortilla chips."
Starters & Snacks,Chicken Wing Dip,12.89,Our homemade spicy dip topped with melted Jack-cheddar cheese and sour cream. Served with tortilla chips.
Starters & Snacks,Chicken-N-Cheese,12.39,Tully’s Tenders® and mozzarella sticks with Tully’s Honey Mustard and our own marinara sauce.
Starters & Snacks,Veggie Quesadilla,12.29,"A flour tortilla packed with cheese, tomatoes, jalapeños, black olives and scallions. Served with sour cream and pico de gallo."
The Best Chicken Tenders on Earth®,10 Tully's Tenders®,20.99,Served with Tully’s Honey Mustard sauce. Sub Buffalo or Asian Tenders add $1.00.
The Best Chicken Tenders on Earth®,Tully's Tenders® Appetizer,14.59,Hand battered chicken tenders served with fries and Tully’s Honey Mustard.
The Best Chicken Tenders on Earth®,Asian Tenders Appetizer,14.99,Tully’s Tenders® tossed in a sweet ‘n spicy Asian sauce. Served with fries and Tully’s Ranch.
The Best Chicken Tenders on Earth®,Buffalo Tenders Appetizer,14.99,Tully’s Tenders® dipped in Buffalo wing sauce. Served with fries and creamy Bleu Cheese.
The Best Chicken Tenders on Earth®,Add 3 Tully’s Tenders®,6.69,Served with Tully's Honey Mustard sauce.
Homemade Soups,French Onion Soup,6.99,"Served piping hot with homemade croutons, melted Swiss and mozzarella."
Homemade Soups,Baked Potato,5.99,"Loaded with chunks of Idaho potatoes, celery, bacon bits and Jack-cheddar cheese."
Salad Entrées,Cha Cha Chicken Salad,14.99,"Blackened chicken served over mixed greens tossed with cucumbers, black beans, sweet corn, scallions and mango-red wine vinaigrette then topped with Jack-cheddar cheese."
Salad Entrées,Crunchy Asian Chicken Salad,16.99,"Romaine tossed with red cabbage, carrots, tomatoes, broccoli, cucumbers and spicy Asian vinaigrette. Topped with Tully's Asian Tenders, scallions and wonton strips."
